Month,CRCode,CRName,SDName,latitude,longitude,Max Hashrate,Min Hashrate,Avg Hashrate
201806,BRA,Brazil,Sao Paulo,-20.81971932,-49.37944031,14.09329571,8.728900645,13.43320187
201806,BRA,Brazil,Sao Paulo,-23.09860992,-48.92583084,13.66326449,7.529618518,13.06807577
201806,BRA,Brazil,Sao Paulo,-23.60388947,-46.91917038,0.042205212,0.02501898,0.039670439
201806,BRA,Brazil,Sergipe,-10.91110992,-37.07167053,0.140900379,0.140900379,0.140900379
201806,BRA,Brazil,Tocantins,-10.21278,-48.36027908,0.063527338,0.063527338,0.063527338
201806,BHS,"Bahamas, The",New Providence,25.05822945,-77.34306335,0.021175779,0.006515624,0.010995116
201806,BLR,Belarus,Brestskaya voblasts',52.09754944,23.68774986,5.320821825,0.016289061,0.626404896
201806,BLR,Belarus,Brestskaya voblasts',52.12358856,26.06981087,0.142529285,0.004072265,0.075065423
201806,BLR,Belarus,Homyel'skaya voblasts',53.08858109,30.05015945,13.92551838,8.841702393,11.80659998
201806,BLR,Belarus,Homyel'skaya voblasts',52.43825913,30.98226929,14.13401836,4.550349233,11.41732874
201806,BLR,Belarus,Horad Minsk,53.85609818,27.60239983,27.56760709,13.68769809,26.55719663
201806,BLR,Belarus,Horad Minsk,53.8730011,27.6760006,21.91774623,3.592552437,17.72243338
201806,BLR,Belarus,Horad Minsk,53.9231987,27.46800041,27.60181412,26.61795483,27.15384628
201806,BLR,Belarus,Horad Minsk,53.84590149,27.58160019,101.5717643,24.57530656,56.80712724
201806,BLR,Belarus,Horad Minsk,53.9530983,27.61599922,13.98497345,3.949833268,12.72079543
201806,BLR,Belarus,Horad Minsk,53.84460068,27.49690056,0.043166012,0.002443359,0.029591794
201806,BLR,Belarus,Hrodzenskaya voblasts',53.68840027,23.82579994,9.299425012,0.360300034,7.090052021
201806,BLR,Belarus,Mahilyowskaya voblasts',53.91410065,30.33764076,9.265217983,2.637199001,7.630234795
201806,BLR,Belarus,Minskaya voblasts',53.90000153,27.56666946,583.454894,442.9693103,505.2811453
201806,BLR,Belarus,Minskaya voblasts',54.09658051,28.33410072,71.46744135,50.49690403,66.26229392
201806,BLR,Belarus,Minskaya voblasts',52.78792954,27.54348946,23.06123833,3.613728217,11.48113229
201806,BLR,Belarus,Minskaya voblasts',54.32051849,26.86436081,10.58544639,4.013217441,7.345236526
201806,BLR,Belarus,Vitsyebskaya voblasts',55.19047928,30.20330048,288.1469762,0.013845702,206.8322943
201806,CAN,Canada,Alberta,50.90348053,-114.0759888,13.88153791,5.258923393,13.26806812
201806,CAN,Canada,Alberta,51.04658127,-114.0634537,124.9102221,12.24937399,24.89449071
201806,CAN,Canada,Alberta,51.04739761,-114.0652695,0.001119873,0.000340416,0.000961648
201806,CAN,Canada,Alberta,51.05010986,-114.085289,20.00215264,0.824226494,11.87811371
201806,CAN,Canada,Alberta,51.0507431,-114.0759506,213.214037,167.3952019,184.1895662
201806,CAN,Canada,Alberta,51.08832932,-114.0037155,54.1652006,36.20895404,46.43533002
201806,CAN,Canada,Alberta,51.15212631,-114.0628204,14.37346756,13.25766687,14.10396504
201806,CAN,Canada,Alberta,53.4224205,-113.3691864,14.02162384,13.3195653,13.66840912
201806,CAN,Canada,Alberta,53.53478622,-113.6155548,12.58981537,5.01295857,11.74368602
201806,CAN,Canada,Alberta,53.55014038,-113.4687119,42.24038615,12.54064276,28.66821495
201806,CAN,Canada,Alberta,52.31681061,-114.0852966,124.50381,100.0083199,121.4006183
201806,CAN,Canada,Alberta,50.05006027,-110.6683426,270.6476378,253.6597759,263.703309
201806,CAN,Canada,Alberta,54.25017929,-111.1684875,77.59864397,19.90849054,48.75356726
201806,CAN,Canada,Alberta,52.32575607,-112.7147827,27.82660317,11.10262408,25.65355191
201806,CAN,Canada,Alberta,55.18518829,-118.7876434,27.61647428,1.578410026,25.97104155
201806,CAN,Canada,Alberta,53.53343964,-113.9187393,41.11847707,2.503628699,29.55146203
201806,CAN,Canada,Alberta,54.1545372,-113.8608933,1.211702536,1.157337795,1.190465673
201806,CAN,Canada,Alberta,55.46664047,-119.4360809,3.03261596,0.003257812,1.319298537
201806,CAN,Canada,British Columbia,54.3997612,-126.6700821,0.017917967,0.013031249,0.015474608
201806,CAN,Canada,British Columbia,49.24966049,-123.119339,3337.910227,898.1301175,2734.875921
201806,CAN,Canada,British Columbia,49.26582336,-123.2566299,69.10959975,17.24522904,48.28311372
201806,CAN,Canada,British Columbia,49.28113937,-123.1258774,66.84867806,25.04606043,48.20306804
201806,CAN,Canada,British Columbia,49.28178787,-123.1174316,21.49830291,20.04124639,21.08816132
201806,CAN,Canada,British Columbia,52.12805176,-122.142189,4062.320002,3092.712008,3706.666648
201806,CAN,Canada,British Columbia,49.23242569,-123.023262,0.396027799,0.376344123,0.387261082
201806,CAN,Canada,British Columbia,49.26636124,-122.9526291,516.5863987,444.2548226,505.3551521
201806,CAN,Canada,British Columbia,49.2752533,-122.9924698,178.8017665,174.6868442,177.7029047
201806,CAN,Canada,British Columbia,49.03308868,-118.4356003,27.75167349,8.874280516,21.40745067
201806,CAN,Canada,British Columbia,49.20677948,-122.9109192,28.21102501,24.52155266,27.40517292
201806,CAN,Canada,British Columbia,49.20986939,-123.994812,2.108415353,0.305419897,1.729122625
201806,CAN,Canada,British Columbia,50.81010819,-121.3246002,13.99881915,3.164150129,11.24493124
201806,CAN,Canada,British Columbia,50.99900436,-118.1990356,0.022804686,0.022804686,0.022804686
201806,CAN,Canada,Manitoba,49.88439941,-97.14704132,387.4152318,0.002443359,147.9001225
201806,CAN,Canada,Manitoba,49.89247894,-97.14064026,112.7813872,67.63401442,72.94023198
201806,CAN,Canada,Manitoba,49.89951706,-97.20002747,13.84244417,3.90774577,11.29390602
201806,CAN,Canada,Manitoba,49.84692001,-99.95305634,54.23687247,13.6388309,30.90162838
201806,CAN,Canada,Manitoba,52.10580063,-101.2675934,384.511433,363.8719709,376.5012463
201806,CAN,Canada,Manitoba,52.08610153,-101.0400772,14.09248126,13.56471568,13.88018049
201806,CAN,Canada,Manitoba,50.03081131,-100.2402878,8.862267333,1.527303096,5.502908608
201806,CAN,Canada,Manitoba,57.87997818,-101.6718063,1.580649772,0.452632287,1.439364318
201806,CAN,Canada,New Brunswick,45.27270889,-66.06765747,67.31210185,1.483119018,22.36209825
201806,CAN,Canada,New Brunswick,45.28536606,-66.04682922,27.62054654,26.01200175,27.04187765
201806,CAN,Canada,New Brunswick,46.11594009,-64.801857,1.042499914,0.122167959,0.582333936
201806,CAN,Canada,New Brunswick,45.72266007,-65.50662994,0,0,0
201806,CAN,Canada,Newfoundland and Labrador,55.08671951,-59.16841888,14.27084648,0.125425771,12.94753418
201806,CAN,Canada,Newfoundland and Labrador,53.31684876,-60.33153153,4.047831696,1.450540896,3.091310877
201806,CAN,Canada,Newfoundland and Labrador,47.99988937,-52.98134995,37.45995393,12.83822355,33.72525568
201806,CAN,Canada,Newfoundland and Labrador,47.49988937,-52.99805832,1.812667086,0.931530685,1.53425405
201806,CAN,Canada,Northwest Territories,62.45600128,-114.3525467,27.81682973,23.85207225,27.13634232
201806,CAN,Canada,Nova Scotia,44.64888001,-63.57531357,1.058152683,1.010150856,1.038297633
201806,CAN,Canada,Nova Scotia,44.656353,-63.59608078,0.105878897,0.017917967,0.056044551
201806,CAN,Canada,Nova Scotia,45.68344116,-62.71533966,13.73656527,12.34364693,13.36291457
201806,CAN,Canada,Ontario,42.98339081,-81.23303986,14.23012382,6.754259207,13.30024612
201806,CAN,Canada,Ontario,43.23340988,-79.94963837,247.6543045,107.5283495,153.2295825
201806,CAN,Canada,Ontario,43.60280228,-79.53994751,27.7288688,26.67903881,27.29012294
201806,CAN,Canada,Ontario,43.65755463,-79.37458801,57.41731166,35.3733252,54.36665556
201806,CAN,Canada,Ontario,43.67084122,-79.37932587,365.3518321,152.9945996,224.1409257
201806,CAN,Canada,Ontario,43.67161179,-79.37995148,0.582333936,0.001628906,0.21521922
201806,CAN,Canada,Ontario,43.68381882,-79.45383453,10.58788975,0.667851507,6.517563635
201806,CAN,Canada,Ontario,43.70011139,-79.41629791,68.0846074,11.14904791,37.60147862
201806,CAN,Canada,Ontario,43.73888016,-79.56621552,10.81104989,1.426921757,9.95983538
201806,CAN,Canada,Ontario,43.7708931,-79.32598877,13.66815121,0.075744134,7.481097477
201806,CAN,Canada,Ontario,43.77980042,-79.41493225,26.19281033,0.000814453,14.11351358
201806,CAN,Canada,Ontario,45.40242004,-75.65395355,124.0118804,116.2037189,122.2118203
201806,CAN,Canada,Ontario,45.41117096,-75.69812012,60.85845218,40.43036604,45.28717826
201806,CAN,Canada,Ontario,45.41741943,-75.6979599,8.818083255,3.908152997,5.562016281
